date,open,high,low,close,volume
2025-11-28,26.71,26.72,26.1,26.28,5019.0
2025-12-01,26.41,26.8,26.07,26.69,1032.0
2025-12-02,27.22,27.22,26.07,26.47,7619.0
2025-12-03,26.59,27.0,26.46,26.92,3642.0
2025-12-04,26.97,26.97,26.14,26.63,904.0
2025-12-05,26.76,26.79,26.25,26.48,1977.0
2025-12-08,26.41,26.41,25.92,26.17,4823.0
2025-12-09,25.65,26.7,25.65,26.5,1248.0
2025-12-10,26.7,26.7,26.24,26.51,1799.0
2025-12-11,26.51,26.51,25.82,26.51,1510.0
2025-12-12,26.51,26.77,26.24,26.53,1946.0
2025-12-15,26.4,26.52,26.4,26.52,779.0
2025-12-16,25.98,26.11,25.85,25.91,45806.0
2025-12-17,26.04,26.04,25.76,25.84,3217.0
2025-12-18,25.77,25.91,25.75,25.76,954.0
2025-12-19,25.91,26.03,25.87,25.91,1686.0
2025-12-22,26.45,26.45,26.06,26.09,4331.0
2025-12-23,26.15,26.16,26.1,26.16,10110.0
2025-12-24,26.16,26.24,26.06,26.11,517.0
2025-12-26,26.24,26.24,25.98,26.0,873.0
2025-12-29,26.07,26.07,25.86,25.99,17976.0
2025-12-30,25.93,26.0,25.86,25.89,1463.0
2025-12-31,26.11,26.13,25.93,26.08,66106.0
2026-01-01,26.22,26.22,26.08,26.09,888.0
2026-01-02,26.2,26.25,26.16,26.24,3794.0
2026-01-05,26.24,26.36,26.18,26.21,4198.0
2026-01-06,26.21,26.27,26.15,26.17,1895.0
2026-01-07,26.08,26.17,26.02,26.12,4266.0
2026-01-08,26.05,26.05,25.85,25.87,5820.0
2026-01-09,25.85,25.9,25.61,25.67,4796.0
2026-01-12,26.21,26.21,25.45,25.76,16792.0
2026-01-13,25.78,25.78,25.57,25.67,3142.0
2026-01-14,25.71,25.71,25.54,25.6,7044.0
2026-01-16,25.6,25.83,25.6,25.64,4032.0
2026-01-19,25.49,25.59,25.4,25.58,49198.0
2026-01-20,25.45,25.51,25.25,25.31,9285.0
2026-01-21,25.26,25.35,24.97,25.11,42145.0
2026-01-22,25.4,25.42,25.15,25.26,2650.0
2026-01-23,25.15,25.35,25.0,25.13,3824.0
2026-01-27,25.01,25.3,25.0,25.23,24513.0
2026-01-28,25.35,25.41,25.16,25.29,3640.0
2026-01-29,25.92,25.92,25.14,25.42,6713.0
2026-01-30,25.3,25.47,25.28,25.44,853.0
2026-02-01,25.45,25.48,24.73,25.31,69337.0
2026-02-02,24.87,25.23,24.76,25.19,6900.0
2026-02-03,25.69,25.98,25.53,25.84,8363.0
2026-02-04,25.72,25.88,25.67,25.83,5690.0
2026-02-05,25.82,25.88,25.59,25.85,2089.0
2026-02-06,25.63,25.72,25.45,25.72,8994.0
2026-02-09,25.75,25.89,25.74,25.86,7162.0
2026-02-10,25.87,25.95,25.86,25.95,1710.0
2026-02-11,26.0,26.0,25.89,25.98,3417.0
2026-02-12,25.89,25.89,25.76,25.76,4677.0
2026-02-13,25.65,25.72,25.5,25.64,3878.0
2026-02-16,25.45,25.72,25.45,25.7,452.0
2026-02-17,25.61,25.76,25.59,25.76,338.0
2026-02-18,25.79,25.83,25.67,25.74,2103.0
2026-02-19,25.89,25.9,25.36,25.44,1095.0
2026-02-20,25.51,25.68,25.5,25.59,200.0
2026-02-23,25.72,25.72,25.61,25.72,1856.0
2026-02-24,25.64,25.64,25.4,25.51,1413.0
2026-02-25,25.54,25.71,25.45,25.46,665.0
2026-02-26,25.58,25.64,25.41,25.56,463.0
2026-02-27,25.68,25.68,25.25,25.28,5357.0
2026-03-02,25.12,25.12,24.68,24.98,5510.0
2026-03-04,24.55,24.71,24.36,24.6,4656.0
2026-03-05,24.72,24.9,24.49,24.87,1824.0
2026-03-06,24.79,24.79,24.54,24.56,1169.0
2026-03-09,24.68,25.0,23.71,24.1,9110.0
2026-03-10,24.34,24.37,24.09,24.35,11037.0
2026-03-11,24.39,24.39,23.92,23.92,8942.0
2026-03-12,23.7,23.86,23.53,23.68,2740.0
2026-03-13,23.68,23.68,23.2,23.23,11455.0
2026-03-16,23.31,23.5,23.1,23.47,2785.0
2026-03-17,23.5,23.7,23.39,23.64,17075.0
2026-03-18,23.8,23.9,23.62,23.83,3518.0
2026-03-19,23.4,23.44,23.07,23.28,24288.0
2026-03-20,23.29,23.38,23.14,23.21,5795.0
2026-03-23,23.05,23.05,22.44,22.48,12542.0
2026-03-24,22.93,23.14,22.73,22.87,3275.0
2026-03-25,23.36,23.53,23.35,23.38,744.0
2026-03-27,23.23,23.23,22.76,22.92,9882.0
2026-03-30,23.03,23.5,22.33,22.56,10481.0
2026-04-01,22.84,24.24,22.77,22.83,11121.0
2026-04-02,22.77,22.86,22.28,22.85,6265.0
2026-04-06,23.31,23.5,22.62,23.34,3819.0
2026-04-07,22.91,23.2,22.84,23.09,11369.0
2026-04-08,23.79,24.13,23.78,24.01,18609.0
2026-04-09,24.03,24.08,23.7,23.85,12520.0
2026-04-10,24.08,24.15,24.0,24.01,1434.0
2026-04-13,23.76,23.92,23.54,23.84,8612.0
2026-04-15,24.25,24.32,24.23,24.3,1825.0
2026-04-16,24.33,24.47,24.16,24.23,8006.0
2026-04-17,24.22,24.41,24.18,24.4,2415.0
2026-04-20,24.41,24.57,24.29,24.4,6670.0
2026-04-21,24.78,24.78,24.43,24.54,1568.0
2026-04-22,24.5,24.52,24.37,24.45,10719.0
2026-04-23,25.06,25.56,24.21,24.23,2368.0
2026-04-24,24.83,24.83,23.9,24.0,16121.0
2026-04-27,24.6,27.99,24.05,24.6,940.0
2026-04-28,25.21,25.21,24.01,24.03,113060.0
2026-04-29,24.63,24.63,24.08,24.13,35145.0
2026-04-30,24.73,24.73,23.85,24.02,4408.0
2026-05-04,24.23,24.37,24.08,24.17,3882.0
2026-05-05,23.56,24.14,23.56,24.1,8433.0
2026-05-06,24.25,24.42,24.06,24.41,1313.0
2026-05-07,24.53,24.53,24.23,24.34,5369.0
2026-05-08,24.94,24.94,24.15,24.25,23025.0
