date,open,high,low,close,volume
2025-07-03,10.12,10.12,9.95,9.98,13635628.0
2025-07-04,10.2,11.5,9.9,9.96,837803.0
2025-07-07,10.2,10.2,9.8,9.91,661001.0
2025-07-08,10.09,10.09,9.81,9.98,347976.0
2025-07-09,10.05,10.05,9.92,10.03,405396.0
2025-07-10,10.04,10.25,10.0,10.12,701439.0
2025-07-11,10.18,10.47,9.87,9.94,787211.0
2025-07-14,9.8,10.15,9.17,10.09,380840.0
2025-07-15,10.24,10.25,10.06,10.13,214009.0
2025-07-17,10.2,10.2,10.0,10.03,172139.0
2025-07-18,10.1,10.1,9.89,9.93,685224.0
2025-07-21,10.04,10.15,9.75,10.12,504775.0
2025-07-22,10.12,10.6,10.06,10.46,4789421.0
2025-07-23,10.7,12.14,10.48,10.53,1056194.0
2025-07-24,10.79,10.8,10.51,10.55,5424873.0
2025-07-25,10.64,10.8,10.4,10.45,652491.0
2025-07-28,10.49,10.6,10.16,10.38,573378.0
2025-07-29,10.46,10.59,10.26,10.42,352368.0
2025-07-30,10.51,10.52,10.32,10.41,146248.0
2025-07-31,10.3,10.43,10.26,10.35,262342.0
2025-08-01,10.4,10.41,10.26,10.31,165416.0
2025-08-04,10.3,10.64,10.21,10.39,314819.0
2025-08-05,10.4,10.55,10.18,10.21,446463.0
2025-08-06,10.1,10.39,10.1,10.14,134384.0
2025-08-07,10.14,10.29,10.0,10.19,379514.0
2025-08-08,10.34,10.35,10.09,10.14,184115.0
2025-08-11,10.05,10.4,10.05,10.36,198713.0
2025-08-12,10.46,10.47,10.22,10.3,184794.0
2025-08-13,10.44,10.59,10.3,10.54,384257.0
2025-08-14,10.36,10.71,10.36,10.6,223749.0
2025-08-18,10.66,10.8,10.44,10.64,694354.0
2025-08-19,10.79,10.96,10.55,10.87,341048.0
2025-08-20,10.99,11.04,10.79,10.98,429390.0
2025-08-21,11.25,11.25,10.87,10.91,741055.0
2025-08-22,11.18,11.18,10.8,10.86,929906.0
2025-08-25,11.13,11.13,10.81,10.88,465543.0
2025-08-26,11.15,11.15,10.68,10.74,332304.0
2025-08-28,11.0,11.0,10.55,10.59,352693.0
2025-08-29,10.85,10.85,10.44,10.48,299149.0
2025-09-01,10.74,10.74,10.4,10.69,308164.0
2025-09-02,10.95,10.95,10.6,10.71,326483.0
