date,open,high,low,close,volume
2026-04-20,3099.95,3100.0,2946.3,2986.0,154.0
2026-04-21,3049.95,3049.95,2990.0,3046.65,44.0
2026-04-22,3046.65,3050.0,2950.0,3000.4,535.0
2026-04-23,2949.95,3048.95,2912.45,3005.25,480.0
2026-04-24,3040.0,3040.0,2930.0,2969.0,387.0
2026-04-27,2874.05,3048.55,2874.05,2998.7,385.0
2026-04-28,3046.05,3046.05,2956.1,2999.2,254.0
2026-04-29,2912.6,3015.0,2912.6,2970.2,808.0
2026-04-30,2970.15,2970.15,2935.55,2950.0,407.0
2026-05-04,2950.0,3097.3,2915.0,2938.2,383.0
2026-05-05,2998.9,2998.9,2910.0,2961.8,773.0
2026-05-06,3098.0,3098.0,2940.2,2943.2,525.0
2026-05-07,2998.9,3000.1,2931.5,2966.3,667.0
2026-05-08,2951.5,2996.9,2941.0,2953.0,816.0
