date,open,high,low,close,volume
2021-05-12,57.35,57.35,53.5,54.45,21792.0
2021-05-14,54.05,55.1,53.45,54.25,18855.0
2021-05-17,56.4,56.4,53.65,54.7,14875.0
2021-05-18,53.7,56.25,53.7,55.35,16849.0
2021-05-19,55.2,56.25,54.95,55.9,17027.0
2021-05-20,57.0,57.0,54.45,55.15,22225.0
2021-05-21,56.3,57.9,55.2,56.85,43161.0
2021-05-24,56.6,59.4,55.7,58.55,74757.0
2021-05-25,59.2,59.4,57.25,58.75,35444.0
2021-05-26,58.85,59.25,57.55,58.25,23719.0
2021-05-27,58.2,58.85,57.1,58.25,14530.0
2021-05-28,57.75,58.4,56.1,56.4,26258.0
2021-05-31,56.25,57.5,55.5,56.95,16657.0
2021-06-01,56.8,58.25,54.15,54.85,65095.0
2021-06-02,54.65,55.25,52.9,54.95,21776.0
2021-06-03,54.4,56.95,54.4,56.65,38014.0
2021-06-04,58.95,58.95,56.65,56.9,35984.0
2021-06-07,56.95,58.7,56.95,58.4,57943.0
2021-06-08,59.0,64.2,57.6,64.2,339362.0
2021-06-09,66.0,67.0,62.25,63.1,148216.0
2021-06-10,62.5,65.0,61.95,62.55,52505.0
2021-06-11,62.35,67.8,60.55,67.25,277991.0
2021-06-14,68.5,72.75,65.1,71.0,573910.0
2021-06-15,72.45,73.5,70.1,71.2,139053.0
2021-06-16,71.2,71.2,68.1,68.3,57098.0
2021-06-17,69.8,69.8,67.25,67.75,30658.0
2021-06-18,67.5,67.55,62.95,64.8,65362.0
2021-06-21,64.0,68.3,62.95,66.4,55989.0
2021-06-22,66.5,69.0,64.8,66.8,51198.0
2021-06-23,65.95,68.0,65.0,66.2,32983.0
2021-06-24,66.8,68.35,66.0,66.35,30833.0
2021-06-25,66.25,69.0,63.7,67.65,72901.0
2021-06-28,68.0,68.0,66.35,66.8,11650.0
2021-06-29,66.25,68.35,65.7,66.45,43165.0
2021-06-30,66.0,66.8,63.9,64.15,25612.0
2021-07-01,62.8,63.0,60.6,60.85,52134.0
2021-07-02,61.75,66.9,60.0,66.85,159448.0
2021-07-05,66.7,67.95,64.35,65.05,54384.0
2021-07-06,64.55,67.4,63.35,64.5,34618.0
2021-07-07,64.1,69.0,62.65,67.0,66360.0
2021-07-08,67.1,67.75,63.8,64.8,22312.0
2021-07-09,64.8,64.8,61.05,64.35,26788.0
2021-07-12,64.55,66.25,63.8,64.95,31650.0
2021-07-13,66.75,66.75,63.6,64.25,13305.0
2021-07-14,65.0,65.0,64.05,64.35,10083.0
2021-07-15,64.4,65.5,64.0,64.75,20336.0
2021-07-16,64.95,71.0,64.95,69.65,241413.0
2021-07-19,69.45,76.6,68.0,76.45,476732.0
2021-07-20,78.0,82.7,74.5,81.1,894657.0
2021-07-22,83.0,85.0,81.9,83.3,223540.0
2021-07-23,83.4,83.4,79.15,79.15,76696.0
2021-07-26,77.05,78.75,75.2,75.3,98934.0
2021-07-27,72.35,76.95,72.05,73.3,35519.0
2021-07-28,73.5,76.15,72.5,74.9,99449.0
2021-07-29,75.5,77.45,73.0,73.5,44184.0
2021-07-30,76.0,76.0,71.9,72.8,27424.0
2021-08-02,74.45,74.45,70.0,71.0,42079.0
2021-08-03,71.95,73.5,68.8,72.4,76427.0
2021-08-04,75.9,75.95,68.8,68.8,89971.0
2021-08-05,69.45,69.45,65.45,67.55,37765.0
2021-08-06,67.3,69.5,64.2,65.2,129024.0
2021-08-09,64.6,68.45,64.6,67.4,56702.0
2021-08-10,65.4,69.7,64.05,64.25,50062.0
2021-08-11,61.7,65.65,61.05,63.8,29678.0
2021-08-12,65.0,66.95,65.0,66.95,30438.0
2021-08-13,69.0,69.0,66.5,66.95,22341.0
2021-08-16,67.0,67.45,63.65,64.15,21127.0
2021-08-17,64.0,67.0,63.2,65.5,10395.0
2021-08-18,65.5,65.5,62.25,62.3,18855.0
2021-08-20,61.8,61.8,59.2,59.35,24398.0
2021-08-23,59.5,60.7,56.4,56.45,13931.0
2021-08-24,55.1,58.1,53.85,57.35,21986.0
2021-08-25,58.1,59.6,55.9,57.4,15757.0
2021-08-26,55.6,58.6,54.55,54.95,27268.0
2021-08-27,55.9,57.65,54.0,57.6,22094.0
2021-08-30,58.0,60.35,57.05,59.6,21877.0
2021-08-31,59.65,60.0,57.3,57.5,6384.0
2021-09-01,57.5,59.95,57.5,58.9,11852.0
2021-09-02,59.95,59.95,57.6,59.0,7444.0
2021-09-03,60.15,60.15,58.05,58.4,4195.0
2021-09-06,59.8,59.8,57.0,57.4,23668.0
2021-09-07,57.5,58.4,55.0,55.65,29945.0
2021-09-08,55.4,58.3,55.4,56.55,9564.0
2021-09-09,57.85,57.85,55.95,56.75,8428.0
2021-09-13,56.75,56.75,54.6,54.95,60351.0
2021-09-14,55.0,56.05,54.5,54.9,82161.0
2021-09-15,55.5,56.05,54.4,54.9,45570.0
2021-09-16,55.85,56.0,54.75,54.85,50719.0
2021-09-17,55.65,56.85,52.5,53.0,69249.0
2021-09-20,53.85,53.85,52.5,52.65,42796.0
2021-09-21,52.65,53.0,51.55,52.25,15097.0
2021-09-22,53.8,54.85,53.3,54.85,17884.0
2021-09-23,56.9,57.55,56.5,57.55,31220.0
2021-09-24,58.95,58.95,54.7,55.0,52595.0
2021-09-27,55.0,55.0,53.25,53.75,13407.0
2021-09-28,53.45,54.95,52.75,53.0,21907.0
