date,open,high,low,close,volume
2026-04-20,515.0,533.0,500.1,519.8,36969.0
2026-04-21,520.8,544.85,509.6,530.1,126450.0
2026-04-22,530.15,532.0,522.0,526.7,77828.0
2026-04-23,527.0,532.3,504.05,513.9,66498.0
2026-04-24,513.35,522.95,505.5,514.35,23004.0
2026-04-27,514.35,520.0,506.05,513.45,38397.0
2026-04-28,514.15,514.15,506.0,509.75,50193.0
2026-04-29,510.0,511.0,503.15,506.05,51240.0
2026-04-30,501.0,513.0,496.35,508.1,26871.0
2026-05-04,511.05,519.0,500.0,511.75,32852.0
2026-05-05,506.0,520.0,506.0,516.85,40013.0
2026-05-06,516.85,523.0,508.0,519.5,92870.0
2026-05-07,519.5,522.5,513.0,519.85,44285.0
2026-05-08,520.0,522.5,512.0,516.75,26369.0
