date,open,high,low,close,volume
2026-03-19,122.0,122.1,111.16,113.03,11720153.0
2026-03-20,114.19,119.99,112.39,114.13,2516636.0
2026-03-23,114.74,115.67,105.62,108.11,1276138.0
2026-03-24,111.0,112.99,106.99,108.22,1107159.0
2026-03-25,110.0,111.74,105.0,106.5,950608.0
2026-03-27,106.0,106.0,102.0,102.98,2614014.0
2026-03-30,103.0,106.5,101.7,102.4,1482753.0
2026-04-01,103.0,111.19,103.0,108.09,1048510.0
2026-04-02,104.0,121.6,104.0,119.66,1634440.0
2026-04-06,119.65,125.0,116.21,118.43,1694103.0
2026-04-07,117.83,124.7,116.48,122.73,1598454.0
2026-04-08,125.0,127.0,122.16,124.66,1212854.0
2026-04-09,125.39,127.82,120.26,122.81,965094.0
2026-04-10,123.0,128.5,122.5,123.17,1322608.0
2026-04-13,123.0,130.0,118.0,123.83,2144703.0
2026-04-15,128.93,132.8,123.53,124.91,3611926.0
2026-04-16,125.77,128.46,124.2,125.88,473722.0
2026-04-17,126.0,130.48,124.39,126.25,954425.0
2026-04-20,129.0,129.39,125.56,128.31,715494.0
2026-04-21,130.1,134.25,128.0,129.7,1195436.0
2026-04-22,130.9,130.9,126.91,128.4,1466371.0
2026-04-23,128.49,134.58,128.49,131.95,1933377.0
2026-04-24,134.95,135.75,130.05,132.23,1137701.0
2026-04-27,134.6,134.95,131.5,133.41,1100868.0
2026-04-28,135.0,142.92,134.5,137.65,2358306.0
2026-04-29,137.9,141.9,137.03,138.23,596804.0
2026-04-30,138.69,141.12,138.0,138.39,283228.0
2026-05-04,139.7,140.0,137.01,138.29,340582.0
2026-05-05,138.95,143.4,136.2,137.61,1889796.0
2026-05-06,138.87,142.0,135.15,136.96,977655.0
2026-05-07,137.94,141.0,136.07,137.37,302265.0
2026-05-08,137.99,139.9,134.05,135.09,255901.0
