date,open,high,low,close,volume
2026-04-20,5202.0,5297.0,4955.0,5204.6,1239.0
2026-04-21,5204.6,5286.75,5161.0,5212.65,862.0
2026-04-22,5224.95,5293.0,5207.0,5277.35,2861.0
2026-04-23,5292.95,5292.95,5108.15,5213.95,1792.0
2026-04-24,5160.0,5238.05,5015.25,5136.7,1213.0
2026-04-27,5265.0,5265.0,5100.0,5173.45,1202.0
2026-04-28,5250.85,5255.0,5149.9,5156.5,1836.0
2026-04-29,5240.35,5265.0,5141.05,5174.4,1236.0
2026-04-30,5205.0,5205.95,5100.0,5115.5,1649.0
2026-05-04,5116.0,5169.5,5061.5,5086.5,2327.0
2026-05-05,5060.0,5229.0,5060.0,5193.5,1557.0
2026-05-06,5250.0,5295.0,5102.0,5191.0,3085.0
2026-05-07,5189.0,5635.5,5150.0,5579.5,12923.0
2026-05-08,5596.5,5715.0,5479.5,5540.5,4622.0
