date,open,high,low,close,volume
2024-11-04,426.0,479.45,420.25,474.2,60012876.0
2024-11-05,473.75,496.0,471.2,493.7,16830053.0
2024-11-06,499.15,513.5,485.05,489.05,10501905.0
2024-11-07,481.9,483.95,471.0,476.45,4796420.0
2024-11-08,475.45,512.8,460.15,490.85,10571869.0
2024-11-11,487.75,503.95,483.6,493.75,4437853.0
2024-11-12,494.3,500.85,456.1,458.4,3640687.0
2024-11-13,458.95,481.8,452.0,469.25,4394267.0
2024-11-14,470.0,483.9,468.75,474.75,2094067.0
2024-11-18,473.05,478.95,462.5,467.8,1136641.0
2024-11-19,470.15,503.65,470.15,480.1,8660732.0
2024-11-21,480.1,497.0,475.9,487.8,3307627.0
2024-11-22,504.95,506.8,477.1,497.25,4698464.0
2024-11-25,500.0,532.05,498.45,528.25,9312028.0
2024-11-26,534.0,552.5,521.6,525.9,4788112.0
2024-11-27,526.9,527.4,493.55,495.4,2805267.0
2024-11-28,498.4,514.5,498.4,509.5,2410432.0
2024-11-29,511.4,517.95,502.05,503.85,1456563.0
2024-12-02,503.0,503.85,488.15,494.1,3156496.0
2024-12-03,495.9,501.95,489.35,493.35,1280558.0
2024-12-04,497.05,499.4,489.05,496.9,1061964.0
2024-12-05,498.95,537.3,497.8,526.15,6175325.0
2024-12-06,530.05,559.3,527.0,545.55,5324630.0
2024-12-09,543.6,544.9,523.0,524.7,1509113.0
2024-12-10,526.0,537.85,525.0,533.85,1484969.0
2024-12-11,535.5,554.85,522.2,524.4,3245226.0
2024-12-12,535.0,538.95,523.35,526.25,1708282.0
2024-12-13,523.45,528.95,513.1,522.5,1346210.0
2024-12-16,536.0,564.55,534.05,539.95,7018548.0
2024-12-17,542.8,567.8,537.0,540.1,4758011.0
2024-12-18,542.0,563.0,526.75,529.95,2827188.0
2024-12-19,523.0,524.9,509.6,515.3,2598682.0
2024-12-20,519.4,531.7,517.0,520.25,2640788.0
2024-12-23,525.3,537.0,520.35,526.95,1944584.0
2024-12-24,528.8,537.2,518.4,533.1,1801707.0
2024-12-26,538.05,555.6,525.95,533.2,2178805.0
2024-12-27,535.95,539.0,525.8,528.25,691267.0
2024-12-30,530.0,534.8,517.4,520.8,990213.0
2024-12-31,517.9,549.75,513.95,545.3,2571693.0
2025-01-01,547.85,548.35,537.0,539.6,895342.0
2025-01-02,540.05,544.0,533.0,534.6,774151.0
2025-01-03,534.9,570.0,534.9,543.25,6192420.0
2025-01-06,546.75,556.95,523.0,528.65,2835908.0
2025-01-07,534.55,537.0,525.3,526.8,919475.0
2025-01-08,529.35,534.4,517.0,527.9,1358167.0
2025-01-09,528.65,529.35,512.05,515.85,913781.0
2025-01-10,512.95,514.1,492.8,498.8,1284265.0
2025-01-13,492.0,495.9,465.55,479.85,2138684.0
2025-01-14,488.0,501.0,481.95,496.35,1208943.0
2025-01-15,499.0,512.8,497.35,511.2,1540683.0
2025-01-16,515.0,530.6,513.2,524.2,1127061.0
2025-01-17,524.15,524.15,516.1,520.2,468499.0
2025-01-20,522.0,526.0,516.1,523.7,402861.0
2025-01-21,524.1,537.85,503.05,506.05,1013586.0
2025-01-22,510.0,513.55,495.1,497.35,911915.0
2025-01-23,495.1,509.75,493.05,496.1,870916.0
2025-01-24,497.55,504.7,480.8,486.75,599647.0
2025-01-27,480.1,484.75,440.1,446.5,1890753.0
2025-01-28,450.0,471.0,436.8,460.2,1376864.0
2025-01-29,456.0,463.5,445.45,457.65,3470302.0
2025-01-30,465.0,471.7,449.1,453.1,2337961.0
2025-01-31,453.9,476.6,451.65,472.4,3166472.0
2025-02-01,471.55,495.0,467.0,473.1,1614337.0
2025-02-03,463.0,470.0,438.05,439.35,2127928.0
2025-02-04,443.45,447.15,421.1,428.1,4232317.0
2025-02-05,433.0,467.4,432.05,464.0,7191900.0
2025-02-06,468.35,477.1,452.0,458.8,2232187.0
2025-02-07,458.0,469.4,457.2,466.5,3075154.0
2025-02-10,462.8,472.7,454.5,458.05,1145502.0
2025-02-11,457.6,458.4,436.45,450.55,1352386.0
2025-02-12,445.25,457.2,428.65,454.65,1593724.0
2025-02-13,454.7,459.0,436.9,438.65,1075672.0
2025-02-14,446.05,448.2,412.5,424.25,2525534.0
2025-02-17,425.55,434.9,418.05,431.0,1475631.0
2025-02-18,434.0,436.85,421.1,435.15,1011233.0
2025-02-19,434.05,453.5,431.1,447.9,1548534.0
2025-02-20,446.75,459.15,445.3,455.9,1064923.0
2025-02-21,453.9,461.0,447.0,452.7,879170.0
2025-02-24,445.4,450.85,442.1,447.45,957020.0
2025-02-25,448.65,458.5,446.4,448.2,1304672.0
2025-02-27,449.95,454.25,436.1,442.65,1196551.0
2025-02-28,434.0,435.35,408.75,413.1,4851509.0
2025-03-03,417.15,425.0,398.75,406.5,1523492.0
2025-03-04,398.2,427.8,398.2,424.9,868212.0
2025-03-05,427.95,428.5,418.4,420.6,951280.0
2025-03-06,424.0,439.8,422.2,438.05,1307821.0
2025-03-07,440.0,452.9,434.7,450.7,1434884.0
2025-03-10,451.6,466.0,445.2,461.6,1308539.0
2025-03-11,452.9,466.15,447.35,456.35,1550458.0
2025-03-12,457.0,465.65,456.15,460.55,859795.0
2025-03-13,462.9,463.75,447.2,450.1,463981.0
2025-03-17,454.0,454.95,438.4,450.7,539218.0
2025-03-18,453.05,453.75,446.6,449.05,479834.0
2025-03-19,450.0,465.7,449.75,455.8,1070739.0
2025-03-20,458.05,472.4,457.25,470.0,1355935.0
2025-03-21,470.0,488.0,464.4,485.45,1022255.0
2025-03-24,487.9,498.7,483.15,489.7,1315061.0
2025-03-25,491.0,494.45,474.45,477.55,737354.0
2025-03-26,479.0,485.0,466.0,468.45,548476.0
2025-03-27,466.0,480.95,460.9,477.95,1267473.0
2025-03-28,479.0,490.0,477.15,487.0,739039.0
2025-04-01,484.0,485.0,467.5,469.3,749669.0
2025-04-02,468.05,479.35,466.05,472.15,358386.0
2025-04-03,464.05,475.8,464.05,470.0,341333.0
2025-04-04,469.5,472.0,452.0,456.8,648833.0
2025-04-07,400.0,429.45,398.0,426.4,1472964.0
2025-04-08,439.9,439.9,427.1,433.0,734873.0
2025-04-09,432.0,432.5,420.3,422.5,691027.0
2025-04-11,432.0,432.95,423.5,428.2,444182.0
2025-04-15,435.9,449.4,433.85,442.9,620267.0
2025-04-16,438.5,449.45,438.5,445.1,780977.0
2025-04-17,444.0,447.05,438.5,443.8,366431.0
