date,open,high,low,close,volume
2026-04-20,420.0,420.0,380.0,385.26,1313.0
2026-04-21,385.26,389.75,379.0,382.78,6862.0
2026-04-22,395.8,395.8,370.1,384.17,5434.0
2026-04-23,385.0,391.5,376.45,383.56,3834.0
2026-04-24,381.99,385.0,371.05,377.82,1834.0
2026-04-27,384.8,402.0,375.0,382.8,14026.0
2026-04-28,377.11,386.84,372.1,379.07,5413.0
2026-04-29,381.0,384.41,375.2,379.24,4046.0
2026-04-30,378.92,383.0,375.44,377.14,2864.0
2026-05-04,380.5,382.1,375.5,379.7,4059.0
2026-05-05,377.85,381.8,374.55,375.2,6508.0
2026-05-06,374.55,381.9,373.0,380.35,6364.0
2026-05-07,377.1,394.0,377.1,380.55,7032.0
2026-05-08,384.0,387.5,377.7,384.2,4548.0
