date,open,high,low,close,volume
2026-04-20,1725.05,1769.8,1672.0,1703.65,288.0
2026-04-21,1669.55,1707.95,1669.55,1680.0,1804.0
2026-04-22,1689.95,1690.0,1662.0,1667.85,1317.0
2026-04-23,1698.0,1698.0,1628.05,1668.2,1485.0
2026-04-24,1661.05,1670.0,1605.05,1644.1,3803.0
2026-04-27,1699.0,1699.0,1630.0,1631.3,1268.0
2026-04-28,1628.6,1665.55,1625.0,1638.35,2257.0
2026-04-29,1654.05,1684.0,1648.0,1671.4,1838.0
2026-04-30,1689.0,1689.0,1643.15,1667.5,505.0
2026-05-04,1699.0,1747.0,1695.6,1714.8,3629.0
2026-05-05,1729.0,1737.9,1701.0,1716.2,2060.0
2026-05-06,1700.2,1709.9,1650.6,1697.6,2459.0
2026-05-07,1710.0,1799.0,1701.0,1774.0,8123.0
2026-05-08,1774.1,1904.9,1774.1,1853.5,10294.0
