date,open,high,low,close,volume
2026-04-06,19.89,21.0,19.81,20.29,38023.0
2026-04-07,20.39,20.85,19.91,20.15,47223.0
2026-04-08,20.7,21.95,20.69,21.14,36708.0
2026-04-09,21.14,21.14,20.75,20.97,7037.0
2026-04-10,21.87,21.87,21.15,21.36,30929.0
2026-04-13,21.42,21.42,20.88,21.21,34956.0
2026-04-15,21.54,21.95,21.54,21.7,148522.0
2026-04-16,21.93,23.25,21.36,21.62,45417.0
2026-04-17,21.62,22.24,21.62,22.05,23143.0
2026-04-20,22.29,22.58,21.9,22.12,67740.0
2026-04-21,22.13,22.41,22.09,22.2,17149.0
2026-04-22,22.44,22.57,22.07,22.24,36748.0
2026-04-23,22.2,22.56,22.1,22.17,21441.0
2026-04-24,22.45,22.45,21.76,21.9,49355.0
2026-04-27,22.05,22.5,22.05,22.24,568342.0
2026-04-28,22.2,22.5,22.14,22.22,54533.0
2026-04-29,22.3,22.45,22.15,22.25,27537.0
2026-04-30,22.67,22.67,21.85,22.09,48628.0
2026-05-04,22.59,22.59,22.0,22.19,45472.0
2026-05-05,22.2,22.23,21.95,22.14,29262.0
2026-05-06,22.4,22.61,22.3,22.55,177962.0
2026-05-07,22.66,22.84,22.6,22.76,12566.0
2026-05-08,22.5,22.98,22.5,22.86,31463.0
