date,open,high,low,close,volume
2025-06-13,39.99,39.99,37.74,37.97,17039.0
2025-06-16,38.15,38.66,37.07,38.38,56541.0
2025-06-17,38.89,39.34,38.02,38.07,9187.0
2025-06-18,38.08,39.01,37.93,38.05,1989.0
2025-06-19,38.06,38.77,37.03,37.82,9172.0
2025-06-20,37.84,38.87,37.84,38.31,1210.0
2025-06-23,39.08,39.08,37.13,38.26,7408.0
2025-06-24,38.72,38.75,38.42,38.42,6073.0
2025-06-25,38.31,38.82,37.63,38.75,3707.0
2025-06-26,38.74,39.33,38.15,39.16,50398.0
2025-06-27,39.2,40.76,39.2,39.35,12233.0
2025-06-30,39.77,39.78,38.43,39.26,15950.0
2025-07-01,39.36,39.82,39.2,39.59,11154.0
2025-07-02,39.99,39.99,39.14,39.4,4726.0
2025-07-03,39.4,39.6,39.25,39.31,3999.0
2025-07-04,39.33,39.42,39.07,39.34,20922.0
2025-07-07,39.78,39.78,39.09,39.32,1264.0
2025-07-08,39.41,39.47,39.08,39.36,3428.0
2025-07-09,39.59,39.59,39.15,39.24,3837.0
2025-07-10,39.24,39.27,38.87,38.98,15731.0
2025-07-11,39.33,39.5,38.61,38.79,11070.0
2025-07-14,39.18,39.18,38.67,38.85,4285.0
2025-07-15,38.96,39.12,38.7,38.95,7876.0
2025-07-17,39.17,39.17,38.9,38.98,7372.0
2025-07-18,39.0,39.09,38.71,38.87,4901.0
2025-07-21,39.34,39.34,38.58,38.89,4058.0
2025-07-22,39.08,39.08,38.62,38.69,1880.0
2025-07-23,38.71,38.82,38.49,38.74,5294.0
2025-07-24,38.81,38.99,38.52,38.72,7357.0
2025-07-25,38.72,38.72,38.2,38.34,7280.0
2025-07-28,38.77,38.77,38.01,38.29,2093.0
2025-07-29,38.63,38.64,38.23,38.41,5536.0
2025-07-30,38.47,38.72,38.44,38.62,2562.0
2025-07-31,39.39,39.39,38.19,38.47,7596.0
2025-08-01,38.5,38.51,37.93,38.0,7300.0
2025-08-04,38.13,38.43,38.03,38.36,1217.0
2025-08-05,38.68,38.68,38.13,38.34,3225.0
2025-08-06,38.37,38.37,37.89,38.17,19825.0
2025-08-07,38.36,39.2,37.69,38.04,62558.0
2025-08-08,38.23,38.23,37.64,37.69,7577.0
2025-08-11,38.08,38.13,37.61,37.93,2324.0
2025-08-12,38.11,38.13,37.89,38.06,513.0
2025-08-13,39.01,39.01,38.07,38.5,3095.0
2025-08-14,38.46,38.5,38.3,38.35,1461.0
2025-08-18,38.85,39.0,38.35,38.95,6467.0
2025-08-19,39.92,39.92,38.07,38.82,12833.0
