date,open,high,low,close,volume
2025-11-19,29.46,29.5,29.02,29.18,472861.0
2025-11-20,29.29,29.41,29.18,29.29,585932.0
2025-11-21,29.4,29.4,29.0,29.07,243937.0
2025-11-24,30.0,30.0,28.45,28.67,175881.0
2025-11-25,28.98,28.99,28.45,28.72,129594.0
2025-11-26,28.98,28.98,28.6,28.85,97876.0
2025-11-27,29.5,29.5,28.74,28.9,95904.0
2025-11-28,28.9,29.05,28.8,28.91,63163.0
2025-12-01,29.34,29.34,28.73,28.8,163097.0
2025-12-02,29.33,29.33,28.5,28.58,354447.0
2025-12-03,28.75,28.75,28.38,28.44,120968.0
2025-12-04,28.58,28.68,28.36,28.56,64745.0
2025-12-05,28.68,28.81,28.37,28.55,89433.0
2025-12-08,28.64,28.65,27.87,28.08,255189.0
2025-12-09,28.22,28.35,27.65,28.32,140049.0
2025-12-10,28.35,28.6,28.18,28.31,235591.0
2025-12-11,29.16,29.16,28.1,28.44,103069.0
2025-12-12,28.58,28.73,28.5,28.64,386374.0
2025-12-15,28.99,29.66,28.5,28.71,1039135.0
2025-12-16,28.86,28.86,28.48,28.51,485795.0
2025-12-17,28.65,28.66,28.22,28.31,279257.0
2025-12-18,28.31,28.76,28.05,28.24,174722.0
2025-12-19,28.5,28.84,28.18,28.63,307985.0
2025-12-22,28.78,29.16,28.64,29.02,442800.0
2025-12-23,29.56,29.56,28.93,29.17,664640.0
2025-12-24,29.32,29.32,29.0,29.02,364578.0
2025-12-26,29.1,29.42,29.0,29.06,275514.0
2025-12-29,29.2,29.28,28.95,28.98,205863.0
2025-12-30,29.7,29.7,28.5,28.81,179646.0
2025-12-31,29.2,29.21,28.92,29.11,399717.0
2026-01-01,29.25,29.25,28.89,29.02,142523.0
2026-01-02,29.74,29.74,28.92,29.13,179553.0
2026-01-05,29.22,29.29,28.82,29.23,206420.0
2026-01-06,29.27,29.28,28.86,29.1,192216.0
2026-01-07,29.24,29.4,28.99,29.37,496862.0
2026-01-08,29.42,29.42,28.89,29.02,310342.0
2026-01-09,29.16,29.16,28.47,28.57,532900.0
2026-01-12,28.72,29.09,28.4,28.83,176203.0
2026-01-13,28.97,28.97,28.65,28.81,134133.0
2026-01-14,28.81,28.9,28.64,28.79,142241.0
2026-01-16,28.93,28.94,28.65,28.71,235419.0
2026-01-19,29.4,29.4,28.45,28.5,170651.0
2026-01-20,28.56,28.56,27.54,27.71,373487.0
2026-01-21,28.4,28.4,26.8,27.16,551222.0
2026-01-22,27.46,27.66,27.22,27.63,557150.0
2026-01-23,27.63,28.0,27.36,27.58,190822.0
2026-01-27,27.97,27.97,27.09,27.31,250450.0
2026-01-28,28.0,28.0,27.4,27.93,240401.0
2026-01-29,28.06,28.06,27.47,27.73,229493.0
2026-01-30,27.74,27.96,27.31,27.89,247999.0
2026-02-01,28.18,28.18,26.81,27.1,341244.0
2026-02-02,27.23,27.8,26.75,27.43,154512.0
2026-02-03,28.79,28.89,28.25,28.47,1167478.0
